No	B	A	CIN	S	COUT
          0	0	0	0	x	x
          1	1	0	0	0	0
          0	0	0	0	1	0
          2	0	1	0	0	0
          0	0	0	0	1	0
          3	1	1	0	0	0
          0	0	0	0	0	1
          4	0	0	1	0	0
          0	0	0	0	1	0
          5	1	0	1	0	0
          0	0	0	0	0	1
          6	0	1	1	0	0
          0	0	0	0	0	1
          7	1	1	1	0	0
          1	1	0	0	1	1
          2	0	1	0	1	0
          1	1	0	0	1	0
          3	1	1	0	1	0
          1	1	0	0	0	1
          4	0	0	1	1	0
          1	1	0	0	1	0
          5	1	0	1	1	0
          1	1	0	0	0	1
          6	0	1	1	1	0
          1	1	0	0	0	1
          7	1	1	1	1	0
          2	0	1	0	1	1
          3	1	1	0	1	0
          2	0	1	0	0	1
          4	0	0	1	1	0
          2	0	1	0	1	0
          5	1	0	1	1	0
          2	0	1	0	0	1
          6	0	1	1	1	0
          2	0	1	0	0	1
          7	1	1	1	1	0
          3	1	1	0	1	1
          4	0	0	1	0	1
          3	1	1	0	1	0
          5	1	0	1	0	1
          3	1	1	0	0	1
          6	0	1	1	0	1
          3	1	1	0	0	1
          7	1	1	1	0	1
          4	0	0	1	1	1
          5	1	0	1	1	0
          4	0	0	1	0	1
          6	0	1	1	1	0
          4	0	0	1	0	1
          7	1	1	1	1	0
          5	1	0	1	1	1
          6	0	1	1	0	1
          5	1	0	1	0	1
          7	1	1	1	0	1
          6	0	1	1	1	1
          7	1	1	1	0	1
          0	0	0	0	1	1
